periode,tahun,bulan,topic,jumlah_tiket
2020-01,2020,1,SAKTI,92
2020-01,2020,1,LAINNYA,61
2020-01,2020,1,OMSPAN,32
2020-01,2020,1,SPAN,31
2020-01,2020,1,SPM,13
2020-01,2020,1,GPP,7
2020-01,2020,1,SAS,7
2020-01,2020,1,LPJ_BENDAHARA,4
2020-01,2020,1,DIGIT,3
2020-01,2020,1,MPN_G3,3
2020-01,2020,1,PMRT,3
2020-01,2020,1,SP2D,3
2020-01,2020,1,CAPAIAN_OUTPUT,2
2020-01,2020,1,REVISI_DIPA,2
2020-01,2020,1,SUPPLIER,2
2020-01,2020,1,KONTRAK,1
2020-02,2020,2,SAKTI,109
2020-02,2020,2,LAINNYA,74
2020-02,2020,2,OMSPAN,20
2020-02,2020,2,SPAN,18
2020-02,2020,2,SAS,11
2020-02,2020,2,LPJ_BENDAHARA,9
2020-02,2020,2,DIGIT,6
2020-02,2020,2,REVISI_DIPA,6
2020-02,2020,2,SPM,6
2020-02,2020,2,GPP,5
2020-02,2020,2,KONTRAK,4
2020-02,2020,2,MPN_G3,4
2020-02,2020,2,PIN_PPSPM,3
2020-02,2020,2,PMRT,2
2020-02,2020,2,SP2D,1
2020-02,2020,2,SUPPLIER,1
2020-03,2020,3,LAINNYA,82
2020-03,2020,3,SAKTI,66
2020-03,2020,3,SPAN,26
2020-03,2020,3,OMSPAN,24
2020-03,2020,3,SPM,11
2020-03,2020,3,GPP,10
2020-03,2020,3,LPJ_BENDAHARA,10
2020-03,2020,3,DIGIT,9
2020-03,2020,3,SAS,9
2020-03,2020,3,KONTRAK,5
2020-03,2020,3,PMRT,2
2020-03,2020,3,CAPAIAN_OUTPUT,1
2020-03,2020,3,MPN_G3,1
2020-03,2020,3,PIN_PPSPM,1
2020-03,2020,3,REVISI_DIPA,1
2020-03,2020,3,SP2D,1
2020-04,2020,4,LAINNYA,58
2020-04,2020,4,SAKTI,56
2020-04,2020,4,SPAN,27
2020-04,2020,4,SPM,20
2020-04,2020,4,OMSPAN,19
2020-04,2020,4,DIGIT,9
2020-04,2020,4,GPP,7
2020-04,2020,4,KONTRAK,4
2020-04,2020,4,SUPPLIER,4
2020-04,2020,4,LPJ_BENDAHARA,3
2020-04,2020,4,SAS,3
2020-04,2020,4,SP2D,3
2020-04,2020,4,MPN_G3,2
2020-04,2020,4,PMRT,2
2020-04,2020,4,PIN_PPSPM,1
2020-05,2020,5,LAINNYA,73
2020-05,2020,5,SAKTI,58
2020-05,2020,5,SPM,26
2020-05,2020,5,GPP,21
2020-05,2020,5,SPAN,21
2020-05,2020,5,OMSPAN,12
2020-05,2020,5,KONTRAK,4
2020-05,2020,5,LPJ_BENDAHARA,4
2020-05,2020,5,MPN_G3,4
2020-05,2020,5,SP2D,3
2020-05,2020,5,REVISI_DIPA,2
2020-05,2020,5,SAS,2
2020-05,2020,5,CAPAIAN_OUTPUT,1
2020-05,2020,5,DIGIT,1
2020-05,2020,5,SUPPLIER,1
2020-06,2020,6,LAINNYA,71
2020-06,2020,6,SAKTI,56
2020-06,2020,6,OMSPAN,21
2020-06,2020,6,SPAN,21
2020-06,2020,6,SPM,18
2020-06,2020,6,GPP,8
2020-06,2020,6,DIGIT,6
2020-06,2020,6,KONTRAK,5
2020-06,2020,6,SAS,5
2020-06,2020,6,CAPAIAN_OUTPUT,4
2020-06,2020,6,REVISI_DIPA,4
2020-06,2020,6,LPJ_BENDAHARA,3
2020-06,2020,6,SP2D,3
2020-06,2020,6,MPN_G3,2
2020-06,2020,6,PMRT,2
2020-06,2020,6,PIN_PPSPM,1
2020-07,2020,7,SAKTI,77
2020-07,2020,7,LAINNYA,65
2020-07,2020,7,OMSPAN,16
2020-07,2020,7,SPAN,13
2020-07,2020,7,SPM,13
2020-07,2020,7,DIGIT,8
2020-07,2020,7,KONTRAK,6
2020-07,2020,7,SAS,6
2020-07,2020,7,LPJ_BENDAHARA,5
2020-07,2020,7,CAPAIAN_OUTPUT,4
2020-07,2020,7,GPP,4
2020-07,2020,7,PIN_PPSPM,4
2020-07,2020,7,MPN_G3,3
2020-07,2020,7,REVISI_DIPA,1
2020-07,2020,7,SP2D,1
2020-07,2020,7,SUPPLIER,1
2020-08,2020,8,LAINNYA,83
2020-08,2020,8,SAKTI,53
2020-08,2020,8,OMSPAN,28
2020-08,2020,8,SPAN,18
2020-08,2020,8,SPM,15
2020-08,2020,8,GPP,9
2020-08,2020,8,KONTRAK,6
2020-08,2020,8,LPJ_BENDAHARA,6
2020-08,2020,8,DIGIT,4
2020-08,2020,8,CAPAIAN_OUTPUT,3
2020-08,2020,8,REVISI_DIPA,3
2020-08,2020,8,SIMASPATEN,3
2020-08,2020,8,SAS,2
2020-08,2020,8,PMRT,1
2020-08,2020,8,SP2D,1
2020-08,2020,8,SUPPLIER,1
2020-09,2020,9,LAINNYA,82
2020-09,2020,9,SAKTI,47
2020-09,2020,9,OMSPAN,30
2020-09,2020,9,SPAN,16
2020-09,2020,9,SPM,14
2020-09,2020,9,GPP,7
2020-09,2020,9,SIMASPATEN,6
2020-09,2020,9,DIGIT,4
2020-09,2020,9,LPJ_BENDAHARA,4
2020-09,2020,9,REVISI_DIPA,4
2020-09,2020,9,MPN_G3,3
2020-09,2020,9,SAS,3
2020-09,2020,9,CAPAIAN_OUTPUT,2
2020-09,2020,9,PIN_PPSPM,2
2020-09,2020,9,KONTRAK,1
2020-09,2020,9,SP2D,1
2020-09,2020,9,SUPPLIER,1
2020-10,2020,10,LAINNYA,81
2020-10,2020,10,SAKTI,63
2020-10,2020,10,OMSPAN,35
2020-10,2020,10,SPM,17
2020-10,2020,10,SPAN,16
2020-10,2020,10,DIGIT,6
2020-10,2020,10,GPP,3
2020-10,2020,10,KONTRAK,3
2020-10,2020,10,PIN_PPSPM,3
2020-10,2020,10,REVISI_DIPA,3
2020-10,2020,10,MPN_G3,2
2020-10,2020,10,SAS,2
2020-10,2020,10,SIMASPATEN,2
2020-10,2020,10,SUPPLIER,2
2020-10,2020,10,CAPAIAN_OUTPUT,1
2020-10,2020,10,LPJ_BENDAHARA,1
2020-10,2020,10,PMRT,1
2020-10,2020,10,SP2D,1
2020-11,2020,11,LAINNYA,69
2020-11,2020,11,SAKTI,58
2020-11,2020,11,OMSPAN,37
2020-11,2020,11,SPAN,11
2020-11,2020,11,SPM,7
2020-11,2020,11,REVISI_DIPA,5
2020-11,2020,11,GPP,4
2020-11,2020,11,SAS,4
2020-11,2020,11,SIMASPATEN,4
2020-11,2020,11,CAPAIAN_OUTPUT,3
2020-11,2020,11,DIGIT,3
2020-11,2020,11,KONTRAK,2
2020-11,2020,11,LPJ_BENDAHARA,2
